file,row,seance,size_bytes,dark_pixels,total_pixels,density
row11_seance7.jpg,11,7,3070,455,11872,0.0383
row21_seance9.jpg,21,9,2587,456,11872,0.0384
row22_seance9.jpg,22,9,2460,458,11928,0.0384
row12_seance9.jpg,12,9,2730,463,12040,0.0385
row67_seance6.jpg,67,6,2816,472,12255,0.0385
row61_seance7.jpg,61,7,2992,462,11816,0.0391
row58_seance4.jpg,58,4,2047,276,6944,0.0397
row23_seance4.jpg,23,4,2063,304,7560,0.0402
row2_seance7.jpg,2,7,3205,483,11928,0.0405
row30_seance10.jpg,30,10,2754,499,12255,0.0407
row37_seance5.jpg,37,5,1997,233,5712,0.0408
row3_seance10.jpg,3,10,2502,491,11825,0.0415
row47_seance4.jpg,47,4,2199,313,7448,0.042
row5_seance10.jpg,5,10,2476,497,11825,0.042
row39_seance7.jpg,39,7,3044,504,11984,0.0421
row30_seance7.jpg,30,7,3268,527,12255,0.043
row1_seance10.jpg,1,10,2666,500,11448,0.0437
row8_seance9.jpg,8,9,3273,521,11825,0.0441
row18_seance10.jpg,18,10,2597,542,12040,0.045
row6_seance10.jpg,6,10,2488,553,12040,0.0459
row14_seance9.jpg,14,9,2875,553,11816,0.0468
row27_seance9.jpg,27,9,3638,557,11872,0.0469
row6_seance9.jpg,6,9,2877,561,11872,0.0473
row16_seance9.jpg,16,9,3064,563,11872,0.0474
row6_seance7.jpg,6,7,3132,567,11928,0.0475
row2_seance10.jpg,2,10,2365,604,11984,0.0504
row8_seance5.jpg,8,5,2175,290,5665,0.0512
row8_seance6.jpg,8,6,2422,303,5830,0.052
row17_seance10.jpg,17,10,2567,617,11825,0.0522
row55_seance5.jpg,55,5,2203,301,5768,0.0522
row64_seance8.jpg,64,8,2765,649,12040,0.0539
row22_seance10.jpg,22,10,2462,649,11984,0.0542
row49_seance1.jpg,49,1,6682,1638,29810,0.0549
row12_seance10.jpg,12,10,2967,655,11872,0.0552
row14_seance10.jpg,14,10,2640,683,12040,0.0567
row21_seance10.jpg,21,10,2611,696,12040,0.0578
row4_seance10.jpg,4,10,2741,708,12255,0.0578
row15_seance10.jpg,15,10,2775,704,12040,0.0585
row16_seance10.jpg,16,10,2613,740,12040,0.0615
row12_seance3.jpg,12,3,2086,338,5488,0.0616
row44_seance5.jpg,44,5,4229,746,12040,0.062
row11_seance10.jpg,11,10,2890,748,12040,0.0621
row8_seance10.jpg,8,10,3364,735,11660,0.063
row82_seance7.jpg,82,7,4279,762,12027,0.0634
row34_seance4.jpg,34,4,3994,750,11660,0.0643
row56_seance5.jpg,56,5,3711,762,11816,0.0645
row50_seance3.jpg,50,3,3519,800,11872,0.0674
row57_seance5.jpg,57,5,4213,797,11660,0.0684
row27_seance2.jpg,27,2,3714,817,11928,0.0685
row84_seance1.jpg,84,1,8488,2104,30296,0.0694
row37_seance3.jpg,37,3,3921,834,11872,0.0702
row60_seance2.jpg,60,2,3917,831,11816,0.0703
row43_seance1.jpg,43,1,8618,2113,29755,0.071
row62_seance2.jpg,62,2,4623,840,11816,0.0711
row31_seance3.jpg,31,3,3800,847,11872,0.0713
row51_seance5.jpg,51,5,4669,862,12096,0.0713
row57_seance2.jpg,57,2,4084,828,11605,0.0713
row68_seance5.jpg,68,5,4081,841,11660,0.0721
row27_seance5.jpg,27,5,4516,870,12040,0.0723
row62_seance5.jpg,62,5,3954,862,11816,0.073
row63_seance5.jpg,63,5,3906,863,11816,0.073
row66_seance5.jpg,66,5,3894,856,11660,0.0734
row77_seance1.jpg,77,1,7874,2244,30240,0.0742
row1_seance1.jpg,1,1,8370,2175,29268,0.0743
row57_seance3.jpg,57,3,4255,871,11715,0.0743
row8_seance1.jpg,8,1,7551,2229,29810,0.0748
row38_seance2.jpg,38,2,4380,891,11872,0.0751
row36_seance5.jpg,36,5,4414,911,12096,0.0753
row85_seance5.jpg,85,5,4159,894,11872,0.0753
row65_seance2.jpg,65,2,4159,895,11872,0.0754
row51_seance3.jpg,51,3,3986,901,11872,0.0759
row28_seance2.jpg,28,2,4106,893,11715,0.0762
row54_seance1.jpg,54,1,9209,2280,29865,0.0763
row44_seance3.jpg,44,3,4366,909,11872,0.0766
row46_seance1.jpg,46,1,9270,2287,29755,0.0769
row48_seance5.jpg,48,5,4878,951,12312,0.0772
row68_seance3.jpg,68,3,4040,906,11715,0.0773
row65_seance3.jpg,65,3,4203,924,11928,0.0775
row37_seance1.jpg,37,1,8764,2356,30352,0.0776
row45_seance2.jpg,45,2,4118,926,11928,0.0776
row62_seance3.jpg,62,3,4430,926,11928,0.0776
row31_seance2.jpg,31,2,4303,925,11872,0.0779
row41_seance2.jpg,41,2,4144,931,11928,0.0781
row52_seance2.jpg,52,2,4172,936,11928,0.0785
row58_seance2.jpg,58,2,4105,928,11816,0.0785
row42_seance2.jpg,42,2,4554,936,11872,0.0788
row53_seance2.jpg,53,2,4155,941,11928,0.0789
row36_seance2.jpg,36,2,4437,943,11928,0.0791
row82_seance6.jpg,82,6,4484,975,12255,0.0796
row32_seance1.jpg,32,1,8737,2372,29755,0.0797
row26_seance2.jpg,26,2,4148,952,11928,0.0798
row50_seance1.jpg,50,1,8601,2425,30352,0.0799
row28_seance3.jpg,28,3,4234,933,11660,0.08
row39_seance1.jpg,39,1,4164,959,11928,0.0804
row40_seance2.jpg,40,2,4352,959,11928,0.0804
row53_seance3.jpg,53,3,4089,959,11928,0.0804
row73_seance3.jpg,73,3,4216,960,11928,0.0805
row40_seance7.jpg,40,7,4854,970,12040,0.0806
row70_seance3.jpg,70,3,4094,964,11928,0.0808
row54_seance3.jpg,54,3,3847,945,11660,0.081
row63_seance2.jpg,63,2,4287,959,11816,0.0812
row49_seance3.jpg,49,3,4121,952,11715,0.0813
row32_seance5.jpg,32,5,4598,962,11825,0.0814
row27_seance1.jpg,27,1,8819,2470,30296,0.0815
row10_seance2.jpg,10,2,4409,947,11605,0.0816
row58_seance1.jpg,58,1,8213,2463,30184,0.0816
row46_seance5.jpg,46,5,4320,969,11825,0.0819
row67_seance5.jpg,67,5,4612,990,12084,0.0819
row49_seance2.jpg,49,2,4191,967,11715,0.0825
row68_seance2.jpg,68,2,4533,963,11660,0.0826
row54_seance2.jpg,54,2,4158,970,11715,0.0828
row69_seance5.jpg,69,5,4411,984,11872,0.0829
row33_seance1.jpg,33,1,8420,2564,30894,0.083
row43_seance2.jpg,43,2,4312,972,11715,0.083
row11_seance5.jpg,11,5,4482,992,11928,0.0832
row24_seance5.jpg,24,5,4249,1005,12040,0.0835
row43_seance5.jpg,43,5,4667,991,11825,0.0838
row60_seance3.jpg,60,3,4143,1000,11928,0.0838
